"","LEGEND"
"","Legend for tab 'mIF'"
"","Protocol identifier","String","Trial identifier used by lead organization, ie. Center for Experimental Therapeutics Program (CTEP) ID or Industry Sponsored ID.  This is usually a short identifier. Example: E4412."
"","Assay creator","Enum","Indicates what site is filling out the assay.","E.g. 'DFCI'"
"","Slide scanner model","Enum","Model version of the slide scanner instrument.","E.g. 'Vectra 2.0'"
"","Image analysis software","Enum","Source software for digital pathology and image analysis.","E.g. 'InForm'"
"","Image analysis software version","String","Source software version for digital pathology and image analysis."
"","Cell segmentation model","Enum","Model used for cell segmentation in an imaging experiment.","E.g. 'proprietary'"
"","Positive cell detection model","Enum","Model used for positive cell detection in imaging experiment.","E.g. 'proprietary'"
"","Staining","Enum","'manual' or Model version of the autostainer instrument used for tissue sample labeling.","E.g. 'manual'"
"","Staining date","String: date ","Date on which slide staining was processed."
"","Imaging date","String: date ","Date on which imaging experiment was analyzed."
"","Imaging status","Enum","Imaging experiment's successful completion.","E.g. 'Yes'"
"","Panel","Enum","","E.g. 'Panel 1: PD-L1, CD68, PD-1, CD8, CD3, pan-cytokeratin, DAPI'"
"","Section 'ROIs' of tab 'mIF'"
"","Cimac id","String: regex ^C[A-Z0-9]{3}[A-Z0-9]{3}[A-Z0-9]{2}.[0-9]{2}$ ","Specimen identifier assigned by the CIMAC-CIDC Network. Formatted as C????????.??","E.g. 'CTTTP01A1.00'"
"","Roi id","String","Identifier of a region of interest within one mIF slide, e.g. 1, 2, 3 or [123 x 321]"
"","Score data files","String","A comma-separated list of paths to files on a user's computer."
"","Inform export prefix","String","Path on a user's computer to an InForm export directory with ROI's export prefix"
"","Im3 file","String","Path to a file on a user's computer."
"","Legend for tab 'Antibodies'"
"","Section 'antibodies' of tab 'Antibodies'"
"","Antibody","String","Antibody type collected for this study."
"","Export name","String","Name of this antibody in InForm export, e.g. 'CD8 (Opal 520)'"
"","Clone","String","Resulting type of antibody clone from primary antibody sample."
"","Antibody company","String","Company from which antibody sample was derived."
"","Cat#","String","Antibody registry catalog number assigned to antibody sample."
"","Lot#","String","Identification number assigned to the particular quantity or lot of material from manufacturer."
"","Staining order","Integer","Order of staining applied"
"","Fluor wavelength","Integer","Wavelength registered for Alexa Fluor processing."
"","Primary ab dilution","String","Concentration ratio for primary antibody dilution."
"","Dilutent","String","Dilution agent used for antibody sample."
"","Fluor dilution","String","Concentration ratio for fluor dilution agent."
"","Antigen retrieval time","String: time ","Length of time needed for antigen retrieval."
"","Primary incubation time","String: time ","Length of time for primary antibody incubation."
"","Amplification time","String: time ","Length of time required for amplified signal detection."
